ref_year,provider_code,code_year,provider_name,citizenship,attrition_rate
2015,3043,3043-2016,University of the Sunshine Coast,International,15.33
2015,3044,3044-2016,The University of Notre Dame Australia,International,12.5
2015,3045,3045-2016,University of Tasmania,International,26.35
2015,4331,4331-2016,University of Divinity,International,8.33
2015,4332,4332-2016,Sydney College of Divinity,International,27.27
2015,4333,4333-2016,Christian Heritage College,International,85.71
2015,4335,4335-2016,Australian College of Theology,International,13.89
2015,4336,4336-2016,Australian College of Applied Psychology,International,20.31
2015,4337,4337-2016,Eastern College Australia,International,10
2015,4338,4338-2016,Moore Theological College,International,0
2015,4339,4339-2016,Holmes Institute,International,32.03
2015,4340,4340-2016,Monash College,International,14.97
2015,4341,4341-2016,Harvest Bible College,International,18.18
2015,4343,4343-2016,Australian Institute of Music,International,19.05
2015,4344,4344-2016,South Aust Institute of Business & Technology,International,26.44
2015,4347,4347-2016,Tabor College NSW,International,100
2015,4348,4348-2016,Deakin College,International,25.99
2015,4349,4349-2016,Sydney Institute of Business and Technology,International,14.57
2015,4350,4350-2016,Queensland Institute of Business and Technology,International,14.37
2015,4352,4352-2016,The Australian College of Physical Education,International,87.5
2015,4357,4357-2016,Blue Mountains Intl Hotel Management School,International,87.26
2015,4359,4359-2016,The College of Law,International,28.17
2015,4360,4360-2016,Perth Bible College,International,50
2015,4361,4361-2016,Endeavour College of Natural Health,International,18.18
2015,4362,4362-2016,International College of Hotel Management,International,16.42
2015,4363,4363-2016,Northern Melbourne Institute of TAFE,International,23.81
2015,4364,4364-2016,Edith Cowan College,International,14.6
2015,4365,4365-2016,Curtin College,International,8.32
2015,4366,4366-2016,Box Hill Institute,International,42.86
2015,4367,4367-2016,Melbourne Institute of Technology,International,20.26
2015,4368,4368-2016,Campion College,International,100
2015,4371,4371-2016,SAE Creative Media Institute,International,13.1
2015,4374,4374-2016,Carnegie Mellon University Australia,International,2.46
2015,4377,4377-2016,UOW College,International,15.12
2015,4380,4380-2016,UTS:INSEARCH,International,11.17
2015,4381,4381-2016,"International College of Management, Sydney",International,24.22
2015,4383,4383-2016,Holmesglen Institute of TAFE,International,32.35
2015,4384,4384-2016,Kaplan Business School,International,24.19
2015,4385,4385-2016,Polytechnic West,International,19.23
2015,4386,4386-2016,Macleay College,International,12.5
2015,4387,4387-2016,Raffles College of Design and Commerce,International,81.33
2015,4388,4388-2016,Australian Academy of Music and Performing Arts,International,0
2015,4391,4391-2016,Eynesbury,International,16.85
2015,4394,4394-2016,William Angliss Institute of TAFE,International,26.49
2015,4396,4396-2016,LCI Melbourne,International,0
2015,4401,4401-2016,Whitehouse Institute of Design; Australia,International,63.64
2015,4402,4402-2016,Leo Cussen Institute,International,0
2015,4406,4406-2016,Canberra Institute of Technology,International,100
2015,4409,4409-2016,Universal Business School Sydney (UBSS),International,34.03
2015,4410,4410-2016,Australian Institute of Management SA Division Inc,International,100
2015,4411,4411-2016,Stotts Colleges,International,62.3
2015,4412,4412-2016,Morling College,International,0
2015,4413,4413-2016,University College London,International,33.33
2015,4415,4415-2016,Top Education Institute,International,10.46
2015,4417,4417-2016,La Trobe Melbourne,International,21.58
