index,provider_name,prv,affiliation,affil_status,profit,type,ownership,TEQSA_type,ref_year,code_year,success_all,success_dom,success_int,attrition_all,attrition_dom,attrition_int,all_fte,salaried_fte,senior_fte,senior_headcount,sessional_fte,sessional_prop,senior_prop,ssr_all,primary_bfoe,eftsl_sum,primary_bfoe_prop,bfoe_entropy,bfoe_gini_impurity,postgrad_prop,int_prop,ssr_all_type_avg,ssr_salaried_type_avg,sessional_prop_type_avg
54,Griffith University,PRV12076,IRU,current,not_for_profit,university,public,university,2014,3032-2014,86.58,86.23,88.33,14.1,15.62,7.41,1846.53,1372.36,446.95,464.0,474.1700000000001,0.25678976241924045,0.2420485992645665,16.43937700985091,mge_com,30355.802829999997,0.24011059897900913,2.8938283684996753,0.8439795702406686,0.14341121282082064,0.16434166831093494,16.40383963,20.91520368,0.21569783
55,James Cook University,PRV12077,IRU,current,not_for_profit,university,public,university,2014,1019-2014,84.73,85.72,80.2,20.58,20.12,22.39,914.31,765.01,208.09,233.0,149.29999999999995,0.1632925375419715,0.22759239207708548,13.550427827181155,health,12389.29166667,0.36261152944569397,2.621525853896937,0.7913048201330801,0.16853600051141782,0.18051206855404556,16.40383963,20.91520368,0.21569783
56,La Trobe University,PRV12132,IRU,current,not_for_profit,university,public,university,2014,3020-2014,88.34,89.1,85.12,12.38,12.4,12.33,1481.4,1115.22,226.4,249.0,366.18000000000006,0.24718509518023493,0.15282840556230592,17.275747041244767,health,25592.291666900004,0.2714407821314685,2.6447378932456846,0.8066928148245329,0.1640484195219611,0.18903641232946344,16.40383963,20.91520368,0.21569783
57,Macquarie University,PRV12032,IRU,former,not_for_profit,university,public,university,2014,3025-2014,86.22,86.79,84.25,10.19,11.09,6.54,1492.36,1075.75,336.46,370.0,416.6099999999999,0.2791618644294942,0.2254549840521054,17.820374641507406,soc_cult,26594.4143,0.46423146457487496,2.2095616603930863,0.6968098429724303,0.17700823364250592,0.22411630249740075,16.40383963,20.91520368,0.21569783
58,Monash University,PRV12140,Go8,current,not_for_profit,university,public,university,2014,3035-2014,91.63,91.73,91.29,8.8,9.98,4.77,3087.73,2533.38,703.15,782.0,554.3499999999999,0.17953318457248527,0.22772392663866334,13.279800209215184,mge_com,41004.4375,0.25406396563786543,2.8079274692803766,0.8326253322329239,0.20311826006636477,0.23803368842701475,16.40383963,20.91520368,0.21569783
59,Murdoch University,PRV12163,IRU,current,not_for_profit,university,public,university,2014,1034-2014,82.98,82.47,86.06,20.29,21.43,12.61,713.69,546.76,142.73,154.0,166.93000000000006,0.2338970701565106,0.19998879065140324,13.908086815239116,soc_cult,9926.062479168,0.3170105634942319,2.7558175279808492,0.8200289125305832,0.11803522308537848,0.1410428354635289,16.40383963,20.91520368,0.21569783
60,Queensland University of Technology,PRV12079,ATN,former,not_for_profit,university,public,university,2014,3042-2014,87.97,87.95,88.04,12.16,12.63,9.98,2107.28,1453.51,438.05,853.0,653.7700000000002,0.3102435366918493,0.20787460612733,15.503101154094376,mge_com,32669.375,0.23157773909050908,2.9955534826760672,0.8605274778278114,0.15506494997225995,0.15737406975187007,16.40383963,20.91520368,0.21569783
61,Royal Melbourne Institute of Technology,PRV12145,ATN,current,not_for_profit,university,public,university,2014,3034-2014,88.58,88.35,89.31,11.32,12.23,8.47,1714.05,1158.84,318.45,341.0,555.21,0.3239170385928065,0.18578804585630523,18.86752043405968,mge_com,32339.8734,0.24210822328079984,3.0097821735775034,0.8566286450164716,0.18191938871350066,0.23984709878301502,16.40383963,20.91520368,0.21569783
62,Southern Cross University,PRV12043,RUN,current,not_for_profit,university,public,university,2014,3038-2014,78.88,79.4,74.69,25.3,25.81,19.59,463.31,326.03,68.6,74.0,137.28000000000003,0.2963026915024498,0.14806501046815307,17.107201441799226,mge_com,7925.9375,0.24705279343926193,2.6649358407601933,0.8189987479032691,0.11265228876710168,0.11036549304104404,16.40383963,20.91520368,0.21569783
63,Swinburne University of Technology,PRV12148,non_aligned,current,not_for_profit,university,public,university,2014,2177-2014,81.17,80.38,85.04,24.8,26.95,10.68,1122.61,704.59,179.16,191.0,418.01999999999987,0.37236440081595557,0.15959237847516058,16.394718557646915,mge_com,18404.875,0.27197277895122896,2.747550619278487,0.8293780920947231,0.14796351510129788,0.17054584722797628,16.40383963,20.91520368,0.21569783
64,The University of Adelaide,PRV12105,Go8,current,not_for_profit,university,public,university,2014,3010-2014,88.67,87.98,90.94,9.91,11.62,4.42,1785.15,1534.77,425.71,451.0,250.3800000000001,0.14025712125031514,0.23847295745455563,10.511161252555805,soc_cult,18763.999509999998,0.21178853622769042,2.91458243236143,0.8465317005938897,0.1650589816072746,0.2320432836123006,16.40383963,20.91520368,0.21569783
65,The University of Melbourne,PRV12150,Go8,current,not_for_profit,university,public,university,2014,3036-2014,95.01,95.04,94.95,5.73,6.58,3.23,3762.28,3155.97,936.45,1026.0,606.3100000000004,0.1611549379631501,0.24890491935741094,10.284537846731238,nat_phys_sci,38693.311050000004,0.22105241882627666,2.916625871601973,0.8425553368163863,0.4445947331250681,0.3026580934070774,16.40383963,20.91520368,0.21569783
66,The University of Notre Dame Australia,PRV12170,non_aligned,current,not_for_profit,university,private,university,2014,3044-2014,91.85,91.83,92.81,12.12,12.17,8.51,379.79,297.5,93.65,140.0,82.29000000000002,0.21667237157376448,0.24658363832644356,21.718060861170645,health,8248.302334464,0.3636537934523854,2.0777370822668875,0.7280552454631055,0.07251344044760542,0.013986698242371944,16.40383963,20.91520368,0.21569783
