code_year,prv,provider_name,ref_year,type,TEQSA_type,ownership,profit,affiliation,affil_status,eftsl_sum,primary_bfoe,primary_bfoe_prop,bfoe_entropy,bfoe_gini_impurity,postgrad_prop,int_prop,sessional_prop,senior_prop,ssr_all,ssr_salaried,success_dom,success_int,success_all,attrition_dom,attrition_int,attrition_all
3033-2015,PRV12002,Australian National University,2015,university,university,public,not_for_profit,Go8,current,13816.0,soc_cult,0.525,2.09,0.663,0.367,0.295,0.149,0.287,7.318,8.604,93.29,94.72,93.71,10.41,3.81,8.98
3003-2015,PRV12072,Bond University Limited,2015,university,university,private,not_for_profit,non_aligned,current,4677.417,soc_cult,0.354,2.322,0.761,0.32,0.308,0.358,0.289,12.156,18.934,76.67,91.9,81.39,12.26,6.07,10.28
4374-2015,PRV12095,Carnegie Mellon University,2015,university,university,private,not_for_profit,non_aligned,current,86.344,info_tech,0.775,0.769,0.349,1.0,0.962,0.158,0.347,0.435,0.516,100.0,98.22,98.29,0.0,0.96,0.95
2200-2015,PRV12073,Central Queensland University,2015,university,university,public,not_for_profit,RUN,current,11920.913,mge_com,0.291,2.698,0.807,0.294,0.31,0.317,0.152,18.032,26.394,82.43,86.64,83.75,23.58,12.85,20.33
3001-2015,PRV12069,Charles Darwin University,2015,university,university,public,not_for_profit,IRU,current,5797.375,health,0.283,2.587,0.801,0.198,0.297,0.244,0.142,15.647,20.687,83.01,73.79,80.25,25.01,22.75,24.48
3005-2015,PRV12018,Charles Sturt University,2015,university,university,public,not_for_profit,RUN,current,19802.844,health,0.235,2.718,0.829,0.263,0.159,0.192,0.15,19.572,24.21,85.42,82.91,85.01,21.92,10.17,20.22
2236-2015,PRV12158,Curtin University,2015,university,university,public,not_for_profit,ATN,current,26953.688,mge_com,0.24,2.773,0.834,0.14,0.2,0.239,0.2,14.79,19.442,86.01,85.66,85.94,14.9,11.38,14.25
3030-2015,PRV12124,Deakin University,2015,university,university,public,not_for_profit,non_aligned,current,35696.04,soc_cult,0.234,2.854,0.834,0.178,0.169,0.227,0.173,18.145,23.48,84.6,82.2,84.2,15.75,9.27,14.73
2235-2015,PRV12160,Edith Cowan University,2015,university,university,public,not_for_profit,non_aligned,current,15685.0,health,0.23,2.819,0.84,0.196,0.17,0.298,0.145,22.602,32.203,83.94,80.09,83.29,20.26,12.73,19.25
2154-2015,PRV12151,Federation University Australia,2015,university,university,public,not_for_profit,RUN,current,9476.743,mge_com,0.293,2.657,0.814,0.321,0.427,0.306,0.131,18.848,27.17,85.44,74.56,80.72,23.23,20.95,22.16
3029-2015,PRV12097,Flinders University,2015,university,university,public,not_for_profit,IRU,current,14767.083,health,0.33,2.551,0.789,0.227,0.128,0.253,0.227,12.489,16.728,87.31,92.13,87.92,20.07,7.12,18.83
3032-2015,PRV12076,Griffith University,2015,university,university,public,not_for_profit,IRU,current,31236.173,mge_com,0.237,2.874,0.841,0.143,0.156,0.248,0.244,16.905,22.481,86.29,89.61,86.81,16.0,10.41,14.95
1019-2015,PRV12077,James Cook University,2015,university,university,public,not_for_profit,IRU,current,12169.667,health,0.369,2.604,0.787,0.156,0.168,0.181,0.235,13.61,16.623,85.88,79.49,84.79,20.94,23.28,21.41
3020-2015,PRV12132,La Trobe University,2015,university,university,public,not_for_profit,IRU,current,26039.458,health,0.293,2.616,0.8,0.162,0.188,0.341,0.139,17.621,26.747,88.71,86.87,88.36,11.87,15.51,12.68
3025-2015,PRV12032,Macquarie University,2015,university,university,public,not_for_profit,IRU,former,26941.918,soc_cult,0.479,2.229,0.694,0.157,0.201,0.263,0.231,17.674,23.988,87.23,85.46,86.87,11.41,7.46,10.51
3035-2015,PRV12140,Monash University,2015,university,university,public,not_for_profit,Go8,current,43570.312,mge_com,0.268,2.785,0.829,0.226,0.266,0.197,0.225,13.501,16.816,92.07,90.88,91.75,9.18,4.94,8.03
1034-2015,PRV12163,Murdoch University,2015,university,university,public,not_for_profit,IRU,current,9165.083,soc_cult,0.322,2.66,0.808,0.107,0.134,0.291,0.182,12.022,16.952,82.26,88.2,83.05,17.87,14.12,17.46
3042-2015,PRV12079,Queensland University of Technology,2015,university,university,public,not_for_profit,ATN,former,33469.25,mge_com,0.244,2.973,0.856,0.145,0.157,0.297,0.211,15.517,22.087,88.8,89.43,88.9,13.37,11.49,13.02
3034-2015,PRV12145,Royal Melbourne Institute of Technology,2015,university,university,public,not_for_profit,ATN,current,33154.749,mge_com,0.255,2.983,0.852,0.18,0.247,0.321,0.19,18.177,26.776,89.55,90.3,89.73,12.24,9.28,11.47
3038-2015,PRV12043,Southern Cross University,2015,university,university,public,not_for_profit,RUN,current,7913.812,mge_com,0.255,2.623,0.812,0.126,0.129,0.287,0.172,17.694,24.808,78.84,74.25,78.24,25.74,28.12,26.05
2177-2015,PRV12148,Swinburne University of Technology,2015,university,university,public,not_for_profit,non_aligned,current,19324.375,mge_com,0.257,2.762,0.833,0.149,0.162,0.448,0.146,14.561,26.378,82.3,86.01,82.9,24.45,14.15,23.06
3010-2015,PRV12105,The University of Adelaide,2015,university,university,public,not_for_profit,Go8,current,19013.27,soc_cult,0.206,2.936,0.849,0.163,0.243,0.152,0.235,10.679,12.594,88.1,90.97,88.8,11.82,4.7,10.03
3036-2015,PRV12150,The University of Melbourne,2015,university,university,public,not_for_profit,Go8,current,41373.176,nat_phys_sci,0.224,2.917,0.842,0.445,0.328,0.173,0.244,10.578,12.789,94.98,94.85,94.94,6.66,3.3,5.73
3044-2015,PRV12170,The University of Notre Dame Australia,2015,university,university,private,not_for_profit,non_aligned,current,8495.945,health,0.37,2.075,0.726,0.073,0.012,0.216,0.242,21.447,27.358,91.93,90.02,91.91,11.01,17.86,11.11
3019-2015,PRV12080,The University of Queensland,2015,university,university,public,not_for_profit,Go8,current,36024.375,health,0.23,2.845,0.837,0.162,0.23,0.134,0.231,11.009,12.71,89.83,93.09,90.58,11.91,4.3,9.98
3040-2015,PRV12057,The University of Sydney,2015,university,university,public,not_for_profit,Go8,current,40961.179,health,0.224,2.832,0.835,0.299,0.282,0.24,0.27,11.344,14.929,91.71,90.05,91.24,8.45,4.24,7.27
1055-2015,PRV12169,The University of Western Australia,2015,university,university,public,not_for_profit,Go8,current,17519.701,nat_phys_sci,0.375,2.427,0.768,0.222,0.16,0.076,0.294,10.823,11.709,91.53,90.99,91.45,8.86,5.96,8.46
