ref_year,provider_code,code_year,provider_name,success_rate
2013,4359,4359-2013,The College of Law,98.8
2013,4360,4360-2013,Perth Bible College,90.86
2013,4361,4361-2013,Endeavour College of Natural Health,79.45
2013,4362,4362-2013,International College of Hotel Management,89.28
2013,4363,4363-2013,Northern Melbourne Institute of TAFE,83.92
2013,4364,4364-2013,Edith Cowan College,67.27
2013,4365,4365-2013,Curtin College,79.21
2013,4366,4366-2013,Box Hill Institute,85.12
2013,4367,4367-2013,Melbourne Institute of Technology,71.62
2013,4368,4368-2013,Campion College,93.34
2013,4370,4370-2013,Tabor College Tasmania,100
2013,4371,4371-2013,SAE Creative Media Institute,67.94
2013,4373,4373-2013,Jansen Newman Institute Pty. Limited,66.67
2013,4374,4374-2013,Carnegie Mellon University Australia,99.12
2013,4375,4375-2013,Think: Colleges Pty Ltd,81.26
2013,4377,4377-2013,UOW College,63.22
2013,4378,4378-2013,JMC Academy,83.19
2013,4380,4380-2013,UTS:INSEARCH,78.71
2013,4381,4381-2013,"International College of Management, Sydney",77.89
2013,4382,4382-2013,Australian Guild of Music Education Inc.,67.08
2013,4383,4383-2013,Holmesglen Institute of TAFE,79.34
2013,4384,4384-2013,Kaplan Business School,58.99
2013,4385,4385-2013,Polytechnic West,83.07
2013,4386,4386-2013,Macleay College,76.07
2013,4387,4387-2013,Raffles College of Design and Commerce,100
2013,4388,4388-2013,Australian Academy of Music and Performing Arts,84.69
2013,4389,4389-2013,Cairnmillar Institute School,96.43
2013,4391,4391-2013,Eynesbury,74.08
2013,4393,4393-2013,MIECAT,96.32
2013,4395,4395-2013,Adelaide Central School of Art,97.6
2013,4396,4396-2013,LCI Melbourne,90.62
2013,4401,4401-2013,Whitehouse Institute of Design; Australia,93.7
2013,4402,4402-2013,Leo Cussen Institute,99.41
2013,4405,4405-2013,Australian Institute of Professional Counsellors,68.19
2013,4406,4406-2013,Canberra Institute of Technology,83.11
2013,4407,4407-2013,Alphacrucis College,86.65
2013,4408,4408-2013,TAFE Queensland t/a TAFE Queensland - Brisbane,76.71
2013,4409,4409-2013,Universal Business School Sydney (UBSS),78.14
2013,4410,4410-2013,Australian Institute of Management SA Division Inc,96.98
2013,4411,4411-2013,Stotts Colleges,68.5
2013,4412,4412-2013,Morling College,96.32
2013,4413,4413-2013,University College London,98.04
2013,4415,4415-2013,Top Education Institute,70.92
2013,4417,4417-2013,La Trobe Melbourne,62.98
2013,4418,4418-2013,Australian School of Management,83.94
2013,4419,4419-2013,National Art School,94.12
2013,4420,4420-2013,Kent Institute Australia,63.23
2013,4421,4421-2013,Le Cordon Bleu Australia,87.36
2013,4423,4423-2013,Tabor College Perth,93.36
2013,4424,4424-2013,Kaplan Higher Education,84.72
2013,4425,4425-2013,Australian Institute of Business,80.09
2013,4426,4426-2013,John Paul ll Institute for Marriage and Family,86.67
2013,4427,4427-2013,Vose College,77.78
2013,4428,4428-2013,Nan Tien Institute,93.55
2013,4450,4450-2013,TAFE Queensland,80.96
2013,7014,7014-2013,Jazz Music Institute,93.45
2013,7035,7035-2013,Photography Studies College (Melbourne),85.32
2013,7041,7041-2013,Sydney Institute of Traditional Chinese Medicine,100
2013,7073,7073-2013,Chisholm Institute,75.66
2013,7075,7075-2013,TAFE NSW,97.94
2013,7116,7116-2013,Study Group Australia Pty Ltd,83.96
2013,7124,7124-2013,Academy of Information Technology,74.4
2013,7338,7338-2013,TAFE SA,84.69
2014,1019,1019-2014,James Cook University,84.73
2014,1034,1034-2014,Murdoch University,82.98
2014,1055,1055-2014,The University of Western Australia,91.64
2014,1058,1058-2014,University of Wollongong,88.68
2014,2148,2148-2014,The National Institute of Dramatic Art,96.13
2014,2154,2154-2014,Federation University Australia,81.84
2014,2170,2170-2014,Marcus Oldham College,99.54
2014,2177,2177-2014,Swinburne University of Technology,81.17
2014,2200,2200-2014,CQUniversity,83.57
2014,2201,2201-2014,University of Southern Queensland,78.24
2014,2235,2235-2014,Edith Cowan University,83.38
2014,2236,2236-2014,Curtin University,86.58
2014,2241,2241-2014,University of Canberra,82.1
2014,2252,2252-2014,Avondale College of Higher Education,90.12
2014,2271,2271-2014,"Australian Film, Television and Radio School",98.91
2014,3001,3001-2014,Charles Darwin University,82.68
2014,3003,3003-2014,Bond University,81.23
2014,3004,3004-2014,Western Sydney University,82.41
2014,3005,3005-2014,Charles Sturt University,84.93
2014,3006,3006-2014,Australian Catholic University,88.9
2014,3007,3007-2014,Victoria University,80.86
2014,3010,3010-2014,The University of Adelaide,88.67
2014,3013,3013-2014,University of New South Wales,93.15
2014,3014,3014-2014,The University of Newcastle,87.18
2014,3016,3016-2014,University of Technology Sydney,90.66
2014,3019,3019-2014,The University of Queensland,90.46
2014,3020,3020-2014,La Trobe University,88.34
2014,3025,3025-2014,Macquarie University,86.22
2014,3027,3027-2014,University of South Australia,88.38
2014,3029,3029-2014,Flinders University,87.46
2014,3030,3030-2014,Deakin University,84.29
2014,3032,3032-2014,Griffith University,86.58
2014,3033,3033-2014,The Australian National University,93.49
2014,3034,3034-2014,RMIT University,88.58
2014,3035,3035-2014,Monash University,91.63
2014,3036,3036-2014,The University of Melbourne,95.01
2014,3038,3038-2014,Southern Cross University,78.88
2014,3039,3039-2014,The University of New England,80.3
2014,3040,3040-2014,The University of Sydney,91.78
2014,3042,3042-2014,Queensland University of Technology,87.97
2014,3043,3043-2014,University of the Sunshine Coast,86.78
2014,3044,3044-2014,The University of Notre Dame Australia,91.85
2014,3045,3045-2014,University of Tasmania,84.65
2014,4331,4331-2014,University of Divinity,94.4
2014,4332,4332-2014,Sydney College of Divinity,90.09
2014,4333,4333-2014,Christian Heritage College,82.56
2014,4334,4334-2014,Tabor Adelaide,85.54
2014,4335,4335-2014,Australian College of Theology,91.55
2014,4336,4336-2014,Australian College of Applied Psychology,78.73
2014,4337,4337-2014,Eastern College Australia,90.85
2014,4338,4338-2014,Moore Theological College,96.79
2014,4339,4339-2014,Holmes Institute,66
2014,4340,4340-2014,Monash College,82.7
2014,4341,4341-2014,Harvest Bible College,75.58
2014,4343,4343-2014,Australian Institute of Music,81.18
2014,4344,4344-2014,South Aust Institute of Business & Technology,63.23
2014,4346,4346-2014,Excelsia College,91.51
2014,4347,4347-2014,Tabor College NSW,90.99
2014,4348,4348-2014,Deakin College,62.64
2014,4349,4349-2014,Sydney Institute of Business and Technology,69.14
2014,4350,4350-2014,Queensland Institute of Business and Technology,69.99
2014,4352,4352-2014,The Australian College of Physical Education,83.28
2014,4355,4355-2014,Adelaide College of Divinity,76.29
2014,4357,4357-2014,Blue Mountains Intl Hotel Management School,90.03
2014,4359,4359-2014,The College of Law,99.1
