provider_code,code_year,provider_name,attrition_rate
3036,3036-2016,The University of Melbourne,5.76
3038,3038-2016,Southern Cross University,25.72
3039,3039-2016,The University of New England,25.29
3040,3040-2016,The University of Sydney,7.38
3042,3042-2016,Queensland University of Technology,11.52
3043,3043-2016,University of the Sunshine Coast,21.88
3044,3044-2016,The University of Notre Dame Australia,11.47
3045,3045-2016,University of Tasmania,34.8
4331,4331-2016,University of Divinity,20.75
4332,4332-2016,Sydney College of Divinity,25
4333,4333-2016,Christian Heritage College,28.4
4334,4334-2016,Tabor Adelaide,24.1
4335,4335-2016,Australian College of Theology,28.41
4336,4336-2016,Australian College of Applied Psychology,30.65
4337,4337-2016,Eastern College Australia,24
4338,4338-2016,Moore Theological College,11.81
4339,4339-2016,Holmes Institute,32.17
4340,4340-2016,Monash College,14.71
4341,4341-2016,Harvest Bible College,22.48
4343,4343-2016,Australian Institute of Music,24.88
4344,4344-2016,South Aust Institute of Business & Technology,28.09
4346,4346-2016,Excelsia College,24.1
4347,4347-2016,Tabor College NSW,23.08
4348,4348-2016,Deakin College,26.09
4349,4349-2016,Sydney Institute of Business and Technology,16.66
4350,4350-2016,Queensland Institute of Business and Technology,19.21
4352,4352-2016,The Australian College of Physical Education,25.18
4355,4355-2016,Adelaide College of Divinity,40
4357,4357-2016,Blue Mountains Intl Hotel Management School,79.94
4359,4359-2016,The College of Law,24.69
4360,4360-2016,Perth Bible College,46.15
4361,4361-2016,Endeavour College of Natural Health,25.82
4362,4362-2016,International College of Hotel Management,18.09
4363,4363-2016,Northern Melbourne Institute of TAFE,25.56
4364,4364-2016,Edith Cowan College,15.45
4365,4365-2016,Curtin College,10.83
4366,4366-2016,Box Hill Institute,24.68
4367,4367-2016,Melbourne Institute of Technology,23.59
4368,4368-2016,Campion College,24
4370,4370-2016,Tabor College Tasmania,61.29
4371,4371-2016,SAE Creative Media Institute,27.68
4374,4374-2016,Carnegie Mellon University Australia,3.94
4375,4375-2016,Think: Colleges Pty Ltd,32.91
4377,4377-2016,UOW College,16.26
4378,4378-2016,JMC Academy,27.48
4380,4380-2016,UTS:INSEARCH,12.7
4381,4381-2016,"International College of Management, Sydney",22.57
4382,4382-2016,Australian Guild of Music Education Inc.,83.33
4383,4383-2016,Holmesglen Institute of TAFE,32.8
4384,4384-2016,Kaplan Business School,24.31
4385,4385-2016,Polytechnic West,27.34
4386,4386-2016,Macleay College,25.1
4387,4387-2016,Raffles College of Design and Commerce,58.44
4388,4388-2016,Australian Academy of Music and Performing Arts,23.08
