provider_code,code_year,provider_name,citizenship,attrition_rate
4396,4396-2014,LCI Melbourne,Domestic,24.3
4401,4401-2014,Whitehouse Institute of Design; Australia,Domestic,16.77
4402,4402-2014,Leo Cussen Institute,Domestic,13.87
4403,4403-2014,Harvest West Bible College Inc,Domestic,26.67
4405,4405-2014,Australian Institute of Professional Counsellors,Domestic,49.22
4406,4406-2014,Canberra Institute of Technology,Domestic,37.65
4407,4407-2014,Alphacrucis College,Domestic,27.42
4408,4408-2014,TAFE Queensland t/a TAFE Queensland - Brisbane,Domestic,34.58
4410,4410-2014,Australian Institute of Management SA Division Inc,Domestic,13.73
4411,4411-2014,Stotts Colleges,Domestic,20
4412,4412-2014,Morling College,Domestic,39.13
4413,4413-2014,University College London,Domestic,15
4414,4414-2014,Chifley Business School,Domestic,14.43
4415,4415-2014,Top Education Institute,Domestic,19.05
4417,4417-2014,La Trobe Melbourne,Domestic,33.85
4418,4418-2014,Australian School of Management,Domestic,16.67
4419,4419-2014,National Art School,Domestic,14.11
4421,4421-2014,Le Cordon Bleu Australia,Domestic,18.18
4423,4423-2014,Tabor College Perth,Domestic,40
4424,4424-2014,Kaplan Higher Education,Domestic,34.67
4425,4425-2014,Australian Institute of Business,Domestic,8.45
4426,4426-2014,John Paul ll Institute for Marriage and Family,Domestic,26.32
4427,4427-2014,Vose College,Domestic,100
4428,4428-2014,Nan Tien Institute,Domestic,27.27
4450,4450-2014,TAFE Queensland,Domestic,10.87
7001,7001-2014,Collarts,Domestic,25.51
7014,7014-2014,Jazz Music Institute,Domestic,12.5
7035,7035-2014,Photography Studies College (Melbourne),Domestic,27.12
7041,7041-2014,Sydney Institute of Traditional Chinese Medicine,Domestic,38.46
7073,7073-2014,Chisholm Institute,Domestic,25.68
7075,7075-2014,TAFE NSW,Domestic,25.91
7116,7116-2014,Study Group Australia Pty Ltd,Domestic,100
7124,7124-2014,Academy of Information Technology,Domestic,22.22
7125,7125-2014,Phoenix Institute of Australia Pty Ltd,Domestic,21.43
7338,7338-2014,TAFE SA,Domestic,46.2
1019,1019-2015,James Cook University,Domestic,20.94
1034,1034-2015,Murdoch University,Domestic,17.87
1055,1055-2015,The University of Western Australia,Domestic,8.86
1058,1058-2015,University of Wollongong,Domestic,11.58
2148,2148-2015,The National Institute of Dramatic Art,Domestic,23.61
2154,2154-2015,Federation University Australia,Domestic,23.23
2170,2170-2015,Marcus Oldham College,Domestic,6.6
2177,2177-2015,Swinburne University of Technology,Domestic,24.45
2200,2200-2015,CQUniversity,Domestic,23.58
2201,2201-2015,University of Southern Queensland,Domestic,24.38
2235,2235-2015,Edith Cowan University,Domestic,20.26
2236,2236-2015,Curtin University,Domestic,14.9
2241,2241-2015,University of Canberra,Domestic,16.98
2252,2252-2015,Avondale College of Higher Education,Domestic,18.31
2271,2271-2015,"Australian Film, Television and Radio School",Domestic,2.59
3001,3001-2015,Charles Darwin University,Domestic,25.01
3003,3003-2015,Bond University,Domestic,12.26
3004,3004-2015,Western Sydney University,Domestic,13.6
3005,3005-2015,Charles Sturt University,Domestic,21.92
3006,3006-2015,Australian Catholic University,Domestic,16.69
3007,3007-2015,Victoria University,Domestic,18.66
3010,3010-2015,The University of Adelaide,Domestic,11.82
3013,3013-2015,University of New South Wales,Domestic,8.8
3014,3014-2015,The University of Newcastle,Domestic,17.54
3016,3016-2015,University of Technology Sydney,Domestic,9.53
3019,3019-2015,The University of Queensland,Domestic,11.91
3020,3020-2015,La Trobe University,Domestic,11.87
3025,3025-2015,Macquarie University,Domestic,11.41
3027,3027-2015,University of South Australia,Domestic,17.9
3029,3029-2015,Flinders University,Domestic,20.07
3030,3030-2015,Deakin University,Domestic,15.75
3032,3032-2015,Griffith University,Domestic,16
3033,3033-2015,The Australian National University,Domestic,10.41
3034,3034-2015,RMIT University,Domestic,12.24
3035,3035-2015,Monash University,Domestic,9.18
3036,3036-2015,The University of Melbourne,Domestic,6.66
3038,3038-2015,Southern Cross University,Domestic,25.74
3039,3039-2015,The University of New England,Domestic,23.42
3040,3040-2015,The University of Sydney,Domestic,8.45
3042,3042-2015,Queensland University of Technology,Domestic,13.37
3043,3043-2015,University of the Sunshine Coast,Domestic,19.67
3044,3044-2015,The University of Notre Dame Australia,Domestic,11.01
3045,3045-2015,University of Tasmania,Domestic,35.26
4331,4331-2015,University of Divinity,Domestic,20.94
4332,4332-2015,Sydney College of Divinity,Domestic,22.05
4333,4333-2015,Christian Heritage College,Domestic,26.48
4334,4334-2015,Tabor Adelaide,Domestic,27.07
4335,4335-2015,Australian College of Theology,Domestic,22.78
4336,4336-2015,Australian College of Applied Psychology,Domestic,27.07
4337,4337-2015,Eastern College Australia,Domestic,25.96
4338,4338-2015,Moore Theological College,Domestic,18.42
4339,4339-2015,Holmes Institute,Domestic,38.03
4340,4340-2015,Monash College,Domestic,11.43
4341,4341-2015,Harvest Bible College,Domestic,28.95
4343,4343-2015,Australian Institute of Music,Domestic,23.79
4344,4344-2015,South Aust Institute of Business & Technology,Domestic,35.23
4346,4346-2015,Excelsia College,Domestic,18.31
4347,4347-2015,Tabor College NSW,Domestic,9.09
4348,4348-2015,Deakin College,Domestic,27.13
4349,4349-2015,Sydney Institute of Business and Technology,Domestic,21.1
4350,4350-2015,Queensland Institute of Business and Technology,Domestic,29.98
4352,4352-2015,The Australian College of Physical Education,Domestic,25.93
4355,4355-2015,Adelaide College of Divinity,Domestic,50
4357,4357-2015,Blue Mountains Intl Hotel Management School,Domestic,10.13
4359,4359-2015,The College of Law,Domestic,21.54
4360,4360-2015,Perth Bible College,Domestic,48.84
4361,4361-2015,Endeavour College of Natural Health,Domestic,31.59
4362,4362-2015,International College of Hotel Management,Domestic,6.06
4363,4363-2015,Northern Melbourne Institute of TAFE,Domestic,28.34
4364,4364-2015,Edith Cowan College,Domestic,33.33
4365,4365-2015,Curtin College,Domestic,10.19
4366,4366-2015,Box Hill Institute,Domestic,26.52
4367,4367-2015,Melbourne Institute of Technology,Domestic,28.21
4368,4368-2015,Campion College,Domestic,7.32
4370,4370-2015,Tabor College Tasmania,Domestic,48.48
4371,4371-2015,SAE Creative Media Institute,Domestic,32.81
4374,4374-2015,Carnegie Mellon University Australia,Domestic,0
4375,4375-2015,Think: Colleges Pty Ltd,Domestic,34.68
4377,4377-2015,UOW College,Domestic,25
4378,4378-2015,JMC Academy,Domestic,30.53
4380,4380-2015,UTS:INSEARCH,Domestic,14.98
4381,4381-2015,"International College of Management, Sydney",Domestic,22.37
4382,4382-2015,Australian Guild of Music Education Inc.,Domestic,44.44
4383,4383-2015,Holmesglen Institute of TAFE,Domestic,26.67
4384,4384-2015,Kaplan Business School,Domestic,42.53
4385,4385-2015,Polytechnic West,Domestic,26.83
4386,4386-2015,Macleay College,Domestic,2.93
4387,4387-2015,Raffles College of Design and Commerce,Domestic,15.38
4388,4388-2015,Australian Academy of Music and Performing Arts,Domestic,23.64
4389,4389-2015,Cairnmillar Institute School,Domestic,11.61
4391,4391-2015,Eynesbury,Domestic,20
4392,4392-2015,Gestalt Therapy Brisbane,Domestic,8
4393,4393-2015,MIECAT,Domestic,21.05
4394,4394-2015,William Angliss Institute of TAFE,Domestic,23.75
4395,4395-2015,Adelaide Central School of Art,Domestic,22.95
4396,4396-2015,LCI Melbourne,Domestic,23.46
4401,4401-2015,Whitehouse Institute of Design; Australia,Domestic,17.96
4402,4402-2015,Leo Cussen Institute,Domestic,0
4403,4403-2015,Harvest West Bible College Inc,Domestic,70.37
4405,4405-2015,Australian Institute of Professional Counsellors,Domestic,41.96
4406,4406-2015,Canberra Institute of Technology,Domestic,18.87
4407,4407-2015,Alphacrucis College,Domestic,28.99
4410,4410-2015,Australian Institute of Management SA Division Inc,Domestic,40
4412,4412-2015,Morling College,Domestic,39.39
4413,4413-2015,University College London,Domestic,62.5
4414,4414-2015,Chifley Business School,Domestic,30.65
4415,4415-2015,Top Education Institute,Domestic,18.18
4417,4417-2015,La Trobe Melbourne,Domestic,17.33
4418,4418-2015,Australian School of Management,Domestic,33.33
4419,4419-2015,National Art School,Domestic,10.23
4421,4421-2015,Le Cordon Bleu Australia,Domestic,15.79
4423,4423-2015,Tabor College Perth,Domestic,41.18
4424,4424-2015,Kaplan Higher Education,Domestic,29.37
4425,4425-2015,Australian Institute of Business,Domestic,19.2
4426,4426-2015,John Paul ll Institute for Marriage and Family,Domestic,11.32
4428,4428-2015,Nan Tien Institute,Domestic,28.13
4429,4429-2015,Australian Institute for Relationship Studies,Domestic,100
4445,4445-2015,Investment Banking Institute Business School,Domestic,16.67
4449,4449-2015,Torrens University Australia,Domestic,34.36
4450,4450-2015,TAFE Queensland,Domestic,26.71
7001,7001-2015,Collarts,Domestic,25.56
7007,7007-2015,Paramount College of Natural Medicine,Domestic,40
7014,7014-2015,Jazz Music Institute,Domestic,0
7035,7035-2015,Photography Studies College (Melbourne),Domestic,7.02
